Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,1995,1996,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ABW,Aruba,30783,Public social protection expenditure on old age and survivors benefits as a percent of GDP (%),Total,,,,,,,,,,,,,4.3000002,,,,
ABW,Aruba,30784,Public social protection expenditure on benefits for the working age as a percent of GDP (%),Total,,,,,,,,,,,,,1,,,,
ABW,Aruba,30786,Legal health coverage deficit by rural / urban areas (% of population without legal coverage) (%),Total,,,,,,,0.80000001,,,,,,,,,,
ABW,Aruba,30793,Active contributors to an old age contributory scheme as a percent of labour force by sex (%),Total,,,,,,,,,,88.199997,,,,,,,
ABW,Aruba,30796,Public social protection expenditure [excluding health care] as a percent of GDP (%),Total,,,,8.1000004,,,,,,,,,,,,,
ABW,Aruba,30797,Public social protection expenditure [all functions] as a percent of GDP (%),Total,,,,14.7,,,,,15.3,,,,17.799999,,,,
ABW,Aruba,30803,Share of population above statutory pensionable age receiving an old age pension by contribution and sex (%),Total,,,,91.599998,,,,,,89.5,,,,,,,
ABW,Aruba,30804,Share of population above statutory pensionable age receiving an old age pension (%),Total,,,,91.599998,,,,,,89.5,,,,,,,
ABW,Aruba,30805,Public social protection expenditure as a percent of GDP in function of health care (%),Total,,,,14.7,,,,,15.3,,,,17.799999,,,,
ABW,Aruba,30810,Active contributors to an old age contributory scheme as a percent of labour force (%),Total,,,,,,,,,,88.199997,,,,,,,
ABW,Aruba,30811,Public social protection expenditure on benefits for the workingage as a percent of GDP in function of general social assistance (%),Total,,,,,,,,,,,,,1.09,,,,
ABW,Aruba,30812,Public social protection expenditure on benefits for the working age [including general social assistance] as a percent of GDP (%),Total,,,,,,,,,,,,,1.09,,,,
ABW,Aruba,30815,Active contributors to an old age contributory scheme as a percent of the working age population by sex (%),Total,,,,,,,,,,64.099998,,,,,,,
ABW,Aruba,30816,Active contributors to an old age contributory scheme as a percent of the workingage population (%),Total,,,,,,,,,,64.099998,,,,,,,
ABW,Aruba,30817,Public social protection expenditure on benefits for children as a percent of GDP (%),Total,,,,,,,,,,,,,1.09,,,,
ABW,Aruba,30818,Public social protection expenditure on benefits as a percent of GDP by age (%),YGE15,,,,,,,,,,,,,1.09,,,,
ABW,Aruba,30819,Public social protection expenditure on benefits as a percent of GDP by age (%),YGE65,,,,,,,,,,,,,4.3000002,,,,
ABW,Aruba,30820,Public social protection expenditure on benefits as a percent of GDP by age (%),YLT15,,,,,,,,,,,,,1,,,,
AFG,Afghanistan,30783,Public social protection expenditure on old age and survivors benefits as a percent of GDP (%),Total,,,,,,,,,,,,,,0.5,,,
AFG,Afghanistan,30784,Public social protection expenditure on benefits for the working age as a percent of GDP (%),Total,,,,,,,,,,,,,,0.2,,,
AFG,Afghanistan,30785,Public health expenditure as a percent of General Government Expenditure (%),Total,,,,1.1,1.1,1.2,1.5,2.0999999,3.3,4.4000001,6.1999998,1.5,1.6,1.6,3.3,,
AFG,Afghanistan,30788,Total health expenditure as a percent of GDP by institutional sector (%),Total,,,,2.8,3.2,6.6999998,6.5,4.4000001,8.8000002,7.9000001,7.5999999,7,7.5999999,7.5999999,9.6000004,,
AFG,Afghanistan,30789,Private health expenditure as a percent of GDP (%),Total,,,,3.5,4.5,55.299999,53.700001,22.299999,25,27.1,24.4,17.1,27.1,27.200001,20.6,,
AFG,Afghanistan,30790,Total health expenditure as a percent of GDP (%),Total,,,,2.8,3.2,6.6999998,6.5,4.4000001,8.8000002,7.9000001,7.5999999,7,7.5999999,7.5999999,9.6000004,,
AFG,Afghanistan,30791,Public health expenditure as a percent of GDP (%),Total,,,,0,0.1,2.8,2.5999999,0.69999999,2.0999999,2.0999999,1.8,1.6,1.6,0.89999998,1.5,,
AFG,Afghanistan,30792,Maternal mortality ratio per 10 000 live births by rural / urban areas (%),Total,,,,,,,,,,,,,,46,,,
AFG,Afghanistan,30793,Active contributors to an old age contributory scheme as a percent of labour force by sex (%),Total,,,,,,,,,,4.4000001,,,,,,,
AFG,Afghanistan,30794,Percentage of health care expenditure not financed by private households out of pocket payments (%),Total,,,,3.5,4.5,55.299999,53.700001,22.299999,25,27.1,24.4,17.1,27.1,27.200001,20.6,,
AFG,Afghanistan,30795,Outofpocket expenditure as a percentage of total health expenditure by rural / urban areas (%),Total,,,,,,,,,,,74.300003,,,,,,
AFG,Afghanistan,30796,Public social protection expenditure [excluding health care] as a percent of GDP (%),Total,,,,,,,0.23999999,,,,,1.78,,,1.99,,
AFG,Afghanistan,30797,Public social protection expenditure [all functions] as a percent of GDP (%),Total,,,,,,,0.75999999,,,2.23,3.6600001,4.0900002,4.21,,5.5999999,,
AFG,Afghanistan,30803,Share of population above statutory pensionable age receiving an old age pension by contribution and sex (%),Total,,,,5,,,,,,,,,,10.7,,,
AFG,Afghanistan,30804,Share of population above statutory pensionable age receiving an old age pension (%),Total,,,,5,,,,,,,,,,10.7,,,
AFG,Afghanistan,30805,Public social protection expenditure as a percent of GDP in function of health care (%),Total,,,,,,,0.75999999,,,2.23,3.6600001,4.0900002,4.21,,5.5999999,,
AFG,Afghanistan,30808,Share of unemployed receiving regular periodic social security unemployment benefits by schemes and sex (%),Total,,,,0,,,,,,,,,,,,,0
AFG,Afghanistan,30809,Share of unemployed receiving regular periodic social security unemployment benefits (%),Total,,,,0,,,,,,,,,,,,,0
AFG,Afghanistan,30810,Active contributors to an old age contributory scheme as a percent of labour force (%),Total,,,,,,,,,,4.4000001,,,,,,,
AFG,Afghanistan,30811,Public social protection expenditure on benefits for the workingage as a percent of GDP in function of general social assistance (%),Total,,,,,,,,,,,,,,0.18000001,,,
AFG,Afghanistan,30812,Public social protection expenditure on benefits for the working age [including general social assistance] as a percent of GDP (%),Total,,,,,,,,,,,,,,0.18000001,,,
AFG,Afghanistan,30813,Financial deficit by rural / urban areas (% of population not covered due to financial resource deficit) (%),Total,,,,,,,,,,,,,,95.199997,,,
AFG,Afghanistan,30814,Staff access deficit by rural / urban areas (% of population not covered due to health professional staff deficit) (%),Total,,,,,,,,,,,,,,92.300003,,,
AFG,Afghanistan,30815,Active contributors to an old age contributory scheme as a percent of the working age population by sex (%),Total,,,,,,,,,,2.2,,,,,,,
AFG,Afghanistan,30816,Active contributors to an old age contributory scheme as a percent of the workingage population (%),Total,,,,,,,,,,2.2,,,,,,,
AFG,Afghanistan,30817,Public social protection expenditure on benefits for children as a percent of GDP (%),Total,,,,,,,,,,,,,,0.18000001,,,
AFG,Afghanistan,30818,Public social protection expenditure on benefits as a percent of GDP by age (%),YGE15,,,,,,,,,,,,,,0.18000001,,,
